asset_id,project_code,project_name,country,reported_carrier,reported_capacity_gwh_per_day,commissioning_year,maturity_status,source_id,source_locator,source_semantics,carrier_class,eligibility,excel_row,conversion_efficiency_pct
H2L_015,H2L-N-863,Blue Danube,Germany,Other LOHC,0.16,2027.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-863","Promoter-submitted planning project record, not evidence of operating throughput.",LOHC_to_H2,eligible,19.0,
H2L_016,H2L-N-932,Ionian Energy Terminal,Greece,Amonia,50.0,2034.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-932","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,20.0,90.0
H2L_017,H2L-N-968,Green Wilhelmshaven Terminal/Storage/Cracker,Germany,Amonia,31.2,2029.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-968","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,21.0,87.0
H2L_018,H2L-N-1056,HyTechHafen - Rostock,Germany,Amonia,1.0,2026.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-1056","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,22.0,
H2L_019,H2L-N-1099,Ammonia Import Temrminal Brunsbüttel,Germany,Amonia,30.0,2030.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-1099","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,23.0,80.0
H2L_020,H2L-N-1100,Amplifhy Antwerp,Belgium,Amonia,135.4,2030.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-1100","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,24.0,86.0
H2L_021,H2L-N-1127,Amplifhy Rotterdam,Netherlands,Amonia,135.4,2030.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-1127","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,25.0,86.0
H2L_022,H2L-N-1159,bp Wilhelmshaven Green Hydrogen Hub,Germany,Amonia,15.1,2028.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-1159","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,26.0,75.0
H2L_024,H2L-N-1314,North Adriatic H2 Terminal,Italy,Amonia,27.5,2030.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-1314","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,28.0,90.0
H2L_025,H2L-N-1325,Zeebrugge New Molecules development,Belgium,Amonia,48.0,2032.0,Less-Advanced,TYNDP2024_ANNEX_A,"Annex A, H2L, code H2L-N-1325","Promoter-submitted planning project record, not evidence of operating throughput.",NH3_cracked_to_H2,eligible,29.0,90.0
