source_row,from_node,to_node,from_country,to_country,year,capacity_pci_pmi_gwh_per_day,capacity_advanced_gwh_per_day,source_id,source_locator,capacity_semantics,edge_id,edge_type,directed,traceable
26,ATh2,IB-SKh2W,Austria,Slovakia,2030,0.0,144.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 26","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0011,backbone,True,True
27,ATh2,IB-SKh2W,Austria,Slovakia,2040,144.0,144.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 27","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0012,backbone,True,True
29,ATh2,SIh2,Austria,Slovenia,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 29","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0013,backbone,True,True
30,ATh2,SIh2,Austria,Slovenia,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 30","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0014,backbone,True,True
32,BEh2,BEH2Mo,Belgium,Belgium,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 32","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0015,backbone,True,True
33,BEh2,BEH2Mo,Belgium,Belgium,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 33","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0016,backbone,True,True
35,BEH2Mo,BEh2,Belgium,Belgium,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 35","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0017,backbone,True,True
36,BEH2Mo,BEh2,Belgium,Belgium,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 36","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0018,backbone,True,True
38,LH2_Tk_BE,BEh2,Belgium,Belgium,2030,59.3,59.3,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 38","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0019,terminal_backbone,True,True
39,LH2_Tk_BE,BEh2,Belgium,Belgium,2040,193.6,193.6,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 39","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0020,terminal_backbone,True,True
44,BEh2,FRh2,Belgium,France,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 44","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0021,backbone,True,True
45,BEh2,FRh2,Belgium,France,2040,36.0,36.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 45","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0022,backbone,True,True
47,BEh2,FRh2N,Belgium,France,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 47","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0023,backbone,True,True
48,BEh2,FRh2N,Belgium,France,2040,48.0,48.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 48","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0024,backbone,True,True
50,BEH2Mo,FRh2Va,Belgium,France,2030,24.0,24.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 50","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0025,backbone,True,True
51,BEH2Mo,FRh2Va,Belgium,France,2040,24.0,24.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 51","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0026,backbone,True,True
53,BEh2,DEh2,Belgium,Germany,2030,91.2,91.2,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 53","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0027,backbone,True,True
54,BEh2,DEh2,Belgium,Germany,2040,91.2,91.2,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 54","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0028,backbone,True,True
56,BEh2,LUh2,Belgium,Luxemburg,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 56","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0029,backbone,True,True
57,BEh2,LUh2,Belgium,Luxemburg,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 57","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0030,backbone,True,True
59,BEh2,NLh2,Belgium,Netherlands,2030,36.0,36.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 59","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0031,backbone,True,True
60,BEh2,NLh2,Belgium,Netherlands,2040,120.0,120.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 60","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0032,backbone,True,True
62,BEh2,UKh2/INT,Belgium,United Kingdom,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 62","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0033,backbone,True,True
63,BEh2,UKh2/INT,Belgium,United Kingdom,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 63","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0034,backbone,True,True
65,BAh2,HRh2,Bosnia Herzegovina,Croatia,2030,0.0,115.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 65","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0035,backbone,True,True
66,BAh2,HRh2,Bosnia Herzegovina,Croatia,2040,0.0,115.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 66","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0036,backbone,True,True
71,BGh2,GRh2,Bulgaria,Greece,2030,80.0,80.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 71","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0037,backbone,True,True
72,BGh2,GRh2,Bulgaria,Greece,2040,80.0,80.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 72","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0038,backbone,True,True
74,BGh2,MKh2,Bulgaria,North Macedonia,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 74","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0039,backbone,True,True
75,BGh2,MKh2,Bulgaria,North Macedonia,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 75","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0040,backbone,True,True
77,BGh2,ROh2,Bulgaria,Romania,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 77","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0041,backbone,True,True
78,BGh2,ROh2,Bulgaria,Romania,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 78","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0042,backbone,True,True
80,HRh2,ALh2,Croatia,Albania,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 80","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0043,backbone,True,True
81,HRh2,ALh2,Croatia,Albania,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 81","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0044,backbone,True,True
83,HRh2,BAh2,Croatia,Bosnia Herzegovina,2030,0.0,115.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 83","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0045,backbone,True,True
84,HRh2,BAh2,Croatia,Bosnia Herzegovina,2040,0.0,115.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 84","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0046,backbone,True,True
92,LH2_Tk_HR,HRh2,Croatia,Croatia,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 92","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0047,terminal_backbone,True,True
93,LH2_Tk_HR,HRh2,Croatia,Croatia,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 93","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0048,terminal_backbone,True,True
98,HRh2,HUh2,Croatia,Hungary,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 98","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0049,backbone,True,True
99,HRh2,HUh2,Croatia,Hungary,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 99","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0050,backbone,True,True
101,HRh2,RSh2,Croatia,Serbia,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 101","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0051,backbone,True,True
102,HRh2,RSh2,Croatia,Serbia,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 102","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0052,backbone,True,True
104,HRh2,SIh2,Croatia,Slovenia,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 104","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0053,backbone,True,True
105,HRh2,SIh2,Croatia,Slovenia,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 105","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0054,backbone,True,True
110,CYh2,GRh2,Cyprus,Greece,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 110","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0055,backbone,True,True
111,CYh2,GRh2,Cyprus,Greece,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 111","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0056,backbone,True,True
122,CZh2,DEh2,Czechia,Germany,2030,288.0,288.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 122","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0057,backbone,True,True
123,CZh2,DEh2,Czechia,Germany,2040,288.0,288.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 123","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0058,backbone,True,True
125,CZh2,PLh2S,Czechia,Poland,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 125","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0059,backbone,True,True
126,CZh2,PLh2S,Czechia,Poland,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 126","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0060,backbone,True,True
128,CZh2,IB-SKh2W,Czechia,Slovakia,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 128","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0061,backbone,True,True
129,CZh2,IB-SKh2W,Czechia,Slovakia,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 129","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0062,backbone,True,True
146,DKh2,DEh2,Denmark,Germany,2030,103.2,103.2,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 146","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0063,backbone,True,True
147,DKh2,DEh2,Denmark,Germany,2040,103.2,103.2,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 147","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0064,backbone,True,True
152,DKh2,NOh2,Denmark,Norway,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 152","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0065,backbone,True,True
153,DKh2,NOh2,Denmark,Norway,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 153","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0066,backbone,True,True
155,DKh2,PLh2N,Denmark,Poland,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 155","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0067,backbone,True,True
156,DKh2,PLh2N,Denmark,Poland,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 156","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0068,backbone,True,True
161,EEh2,FIh2S,Estonia,Finland,2030,100.0,100.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 161","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0069,backbone,True,True
162,EEh2,FIh2S,Estonia,Finland,2040,100.0,100.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 162","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0070,backbone,True,True
164,EEh2,LVh2,Estonia,Latvia,2030,200.0,200.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 164","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0071,backbone,True,True
165,EEh2,LVh2,Estonia,Latvia,2040,200.0,200.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 165","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0072,backbone,True,True
167,FIh2S,EEh2,Finland,Estonia,2030,200.0,200.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 167","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0073,backbone,True,True
168,FIh2S,EEh2,Finland,Estonia,2040,200.0,200.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 168","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0074,backbone,True,True
170,FIh2,FIh2Al,Finland,Finland,2030,504.0,504.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 170","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0075,backbone,True,True
171,FIh2,FIh2Al,Finland,Finland,2040,504.0,504.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 171","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0076,backbone,True,True
173,FIh2,FIh2N,Finland,Finland,2030,9999.0,9999.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 173","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0077,backbone,True,True
174,FIh2,FIh2N,Finland,Finland,2040,9999.0,9999.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 174","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0078,backbone,True,True
176,FIh2,FIh2S,Finland,Finland,2030,9999.0,9999.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 176","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0079,backbone,True,True
177,FIh2,FIh2S,Finland,Finland,2040,9999.0,9999.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 177","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0080,backbone,True,True
182,FIh2Al,FIh2,Finland,Finland,2030,504.0,504.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 182","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0081,backbone,True,True
183,FIh2Al,FIh2,Finland,Finland,2040,504.0,504.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 183","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0082,backbone,True,True
185,FIh2N,FIh2,Finland,Finland,2030,9999.0,9999.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 185","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0083,backbone,True,True
186,FIh2N,FIh2,Finland,Finland,2040,9999.0,9999.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 186","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0084,backbone,True,True
191,FIh2S,FIh2,Finland,Finland,2030,9999.0,9999.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 191","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0085,backbone,True,True
192,FIh2S,FIh2,Finland,Finland,2040,9999.0,9999.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 192","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0086,backbone,True,True
230,FIh2Al,DEh2,Finland,Germany,2030,262.0,262.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 230","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0087,backbone,True,True
231,FIh2Al,DEh2,Finland,Germany,2040,262.0,262.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 231","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0088,backbone,True,True
233,FIh2Al,PLh2N,Finland,Poland,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 233","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0089,backbone,True,True
234,FIh2Al,PLh2N,Finland,Poland,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 234","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0090,backbone,True,True
236,FIh2Al,SEh2,Finland,Sweden,2030,504.0,504.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 236","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0091,backbone,True,True
237,FIh2Al,SEh2,Finland,Sweden,2040,504.0,504.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 237","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0092,backbone,True,True
239,FIh2N,SEh2,Finland,Sweden,2030,162.0,162.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 239","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0093,backbone,True,True
240,FIh2N,SEh2,Finland,Sweden,2040,162.0,162.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 240","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0094,backbone,True,True
242,FRh2,BEh2,France,Belgium,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 242","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0095,backbone,True,True
243,FRh2,BEh2,France,Belgium,2040,36.0,36.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 243","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0096,backbone,True,True
245,FRh2N,BEh2,France,Belgium,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 245","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0097,backbone,True,True
246,FRh2N,BEh2,France,Belgium,2040,48.0,48.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 246","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0098,backbone,True,True
248,FRh2Va,BEH2Mo,France,Belgium,2030,24.0,24.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 248","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0099,backbone,True,True
249,FRh2Va,BEH2Mo,France,Belgium,2040,24.0,24.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 249","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0100,backbone,True,True
251,FRh2,FRh2N,France,France,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 251","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0101,backbone,True,True
252,FRh2,FRh2N,France,France,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 252","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0102,backbone,True,True
254,FRh2,FRh2S,France,France,2030,192.0,192.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 254","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0103,backbone,True,True
255,FRh2,FRh2S,France,France,2040,192.0,192.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 255","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0104,backbone,True,True
257,FRh2,FRh2SW,France,France,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 257","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0105,backbone,True,True
258,FRh2,FRh2SW,France,France,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 258","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0106,backbone,True,True
260,FRh2,FRh2Va,France,France,2030,24.0,24.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 260","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0107,backbone,True,True
261,FRh2,FRh2Va,France,France,2040,24.0,24.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 261","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0108,backbone,True,True
266,FRh2N,FRh2,France,France,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 266","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0109,backbone,True,True
267,FRh2N,FRh2,France,France,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 267","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0110,backbone,True,True
269,FRh2S,FRh2,France,France,2030,192.0,192.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 269","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0111,backbone,True,True
270,FRh2S,FRh2,France,France,2040,192.0,192.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 270","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0112,backbone,True,True
272,FRh2S,FRh2SW,France,France,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 272","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0113,backbone,True,True
273,FRh2S,FRh2SW,France,France,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 273","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0114,backbone,True,True
278,FRh2SW,FRh2,France,France,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 278","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0115,backbone,True,True
279,FRh2SW,FRh2,France,France,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 279","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0116,backbone,True,True
281,FRh2SW,FRh2S,France,France,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 281","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0117,backbone,True,True
282,FRh2SW,FRh2S,France,France,2040,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 282","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0118,backbone,True,True
287,FRh2Va,FRh2,France,France,2030,24.0,24.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 287","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0119,backbone,True,True
288,FRh2Va,FRh2,France,France,2040,24.0,24.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 288","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0120,backbone,True,True
299,LH2_Tk_FRn,FRh2N,France,France,2030,0.0,0.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 299","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0121,terminal_backbone,True,True
300,LH2_Tk_FRn,FRh2N,France,France,2040,48.0,48.0,TYNDP2024_ANNEX_C2,"Annex C2, Detailed Nodes, Excel row 300","TYNDP infrastructure-level planning capacity, not observed operational availability.",E0122,terminal_backbone,True,True
