facility_id,country,city,owner_or_project,end_use,baseline_h2_tonnes_per_year,baseline_h2_gwh_per_year,latitude,longitude,direct_ammonia_eligible,direct_ammonia_rule,source_id,source_locator,traceable
EHO_F011,France,Ottmarsheim,LAT Nitrogen,Ammonia,21747.47965439817,724.915988479939,47.78719,7.506512,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 18",True
EHO_F012,France,Port Jérôme,ExxonMobil,Refining,76081.69831259281,2536.05661041976,49.4900146,0.5676293,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 19",True
EHO_F013,Italy,Augusta,Sonatrach,Refining,31394.79554761515,1046.493184920505,37.2500684,15.2216971,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 20",True
EHO_F014,Italy,Busalla,Iplom Spa,Refining,8543.579896936424,284.7859965645475,44.5692431,8.9461497,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 21",True
EHO_F015,Italy,Falconara Marittima,API,Refining,13437.24670965893,447.90822365529766,43.6240339,13.3702811,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 22",True
EHO_F016,Italy,Ferrara,YARA,Ammonia,63918.89999999999,2130.6299999999997,44.8391237,11.619787,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 23",True
EHO_F017,Italy,Gela,Eni,Refining,19934.41223457403,664.4804078191343,37.0741526,14.2403537,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 24",True
EHO_F018,Italy,Melilli,GOI Energy,Refining,10074.30462847087,335.81015428236236,37.1810245,15.1253159,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 25",True
EHO_F019,Italy,Milazzo,Raffineria di Milazzo SpA.(Eni),Refining,100546.7685270488,3351.5589509016268,38.2227102,15.2419327,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 26",True
EHO_F020,Italy,Priolo,GOI Energy,Refining,26415.98397643525,880.5327992145084,37.1598584,15.1837006,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 27",True
EHO_F021,Italy,San Martino di Trecate,API,Refining,28867.95551113284,962.2651837044281,45.4468891,8.7901068,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 28",True
EHO_F022,Italy,Sannazzaro,Eni,Refining,75557.28471353151,2518.576157117717,45.1019768,8.907521,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 29",True
EHO_F023,Italy,Sarroch,Saras SpA Raffinerie Sarde,Refining,64076.84922702319,2135.894974234106,39.0654974,9.0108377,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 30",True
EHO_F024,Italy,Taranto,Eni,Refining,59285.356241925,1976.1785413975,40.4653606,17.2470303,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 31",True
EHO_F025,Italy,Venice,Eni,Refining,10631.68652510615,354.38955083687165,45.4418474,12.3155151,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 32",True
EHO_F026,Netherlands,Botlekweg,Esso,Refining,100094.9691571682,3336.4989719056066,51.8847247,4.2931302,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 33",True
EHO_F027,Netherlands,Europoort Rotterdam,BP,Refining,8982.58906422226,299.41963547407533,51.9436775,4.1379495,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 34",True
EHO_F028,Netherlands,Geleen,OCI Nitrogen,Ammonia,145053.2904,4835.10968,50.9682139,5.8277247,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 35",True
EHO_F029,Netherlands,Middelburg,Eastman,Other chemicals,420.48,14.016,51.4987962,3.610998,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 36",True
EHO_F030,Netherlands,Pernis,Shell,Refining,184391.5490842714,6146.384969475713,51.8907319,4.3890747,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 37",True
EHO_F031,Netherlands,Rotterdam,Neste,Refining,41805.2656571187,1393.5088552372902,51.963604278698,4.0425394613325,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 38",True
EHO_F032,Netherlands,Sluiskil,YARA,Ammonia,222970.4295,7432.34765,51.2777029,3.8366881,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 39",True
EHO_F033,Netherlands,Vlissingen,Total/Lukoil,Refining,98960.72697871979,3298.6908992906597,51.4536672,3.5709125,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 40",True
EHO_F040,Poland,Blachownia,Solveco SA,Other chemicals,657.0,21.9,50.78505,18.96224,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 47",True
EHO_F041,Poland,Bochnia,Stalprodukt,Other chemicals,2825.1,94.17,49.9684577,20.4303286,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 48",True
EHO_F042,Poland,Gdansk,PKN ORLEN,Refining,138423.257,4614.108566666667,54.3520252,18.6466384,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 49",True
EHO_F043,Poland,Kedzierzyn,Grupa Azoty,Ammonia,36325.75090971639,1210.858363657213,50.3373005,18.1813286,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 50",True
EHO_F044,Poland,Kedzierzyn,Grupa Azoty,Ammonia,37744.8087914429,1258.1602930480965,50.3383005,18.1813286,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 51",True
EHO_F045,Poland,Plock,PKN ORLEN,Refining,194847.4322236559,6494.914407455197,52.5463446,19.7065364,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 52",True
EHO_F046,Poland,Police,Grupa Azoty,Ammonia,56006.9518116324,1866.89839372108,53.5626824187108,14.538638881077,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 53",True
EHO_F047,Poland,Pulawy,Grupa Azoty,Ammonia,114347.5266154161,3811.58422051387,51.4164431,21.969309,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 54",True
EHO_F048,Poland,Tarnow,Grupa Azoty,Ammonia,26960.51825330513,898.6839417768376,50.0131011,20.9858407,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 55",True
EHO_F049,Poland,Tarnow,Grupa Azoty,Other chemicals,4677.84,155.928,50.0141011,20.9858407,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 56",True
EHO_F050,Poland,Wloclawek,Anwil S.A. (Grupa Orlen),Ammonia,52849.32102357427,1761.6440341191424,52.6493303,19.0677357,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 57",True
EHO_F051,Spain,Bilbao,Repsol,Refining,52498.3363833765,1749.9445461125501,43.2630126,-2.9349852,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 58",True
EHO_F052,Spain,Cartagena,Repsol,Refining,126989.2190895188,4232.973969650627,37.6176944,-0.9892242,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 59",True
EHO_F053,Spain,Huelva,Fertiberia,Ammonia,47390.01829697395,1579.6672765657981,37.2619585,-6.9427327,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 60",True
EHO_F054,Spain,Huelva,CEPSA,Refining,69859.96591694134,2328.665530564711,37.2639585,-6.9427327,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 61",True
EHO_F055,Spain,La Coruña,Repsol,Refining,37600.15984214802,1253.338661404934,43.3633436,-8.4115401,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 62",True
EHO_F056,Spain,Los Barrios,Coagener,Other chemicals,112.3924528301887,3.7464150943396235,36.1862443679583,-5.40810019954444,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 63",True
EHO_F057,Spain,Puertollano,Fertiberia,Ammonia,23695.009148487,789.8336382829,38.6894458,-4.1078877,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 64",True
EHO_F058,Spain,Puertollano,Repsol,Refining,72662.3201155553,2422.0773371851765,38.6914458,-4.1078877,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 65",True
EHO_F059,Spain,Sabiñánigo,Ercros,Ammonia,1066.275411681914,35.54251372273046,42.5193594,-0.3638114,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 66",True
EHO_F060,Spain,San Roque,CEPSA,Refining,14188.73956307472,472.95798543582396,36.5210142,-6.2804565,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 67",True
EHO_F061,Spain,Tarragona,Repsol,Refining,72986.38983400394,2432.8796611334647,41.1238827,1.2444909,False,"No: EHO records hydrogen feedstock demand by end use, not a verified ammonia-consumption contract or facility.",EHO_DEMAND_2024_UPDATE,"Annual consumption per plant, row 68",True
